Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Caochuan zhi,漕船志,Treatise on Transport Ships,,政書,,1501,朱家相,Zhu Jiaxiang,,,,,,淮安文獻叢刻,,,,,,,,增修清江漕船志敘,zengxiu Qingjiang caozhuan zhi xu,preface to the revised treatise on Qingjiang transport ships,潘塤,Pan Xun,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A2%9E%E4%BF%AE%E6%B8%85%E6%B1%9F%E6%BC%95%E8%88%B9%E5%BF%97%E6%95%98,,
Huian xiansheng Zhu wen gong wenji,晦庵先生朱文公文集,Collected works of Zhu Xi,,儒家,,,朱熹,Zhu Xi,,,,,,景上海涵芬樓藏明刊本,饒平蘇,Rao Pingsu,,,1532,,Fujian,萬杉寺,wanshan si ,ten thousand fir temple,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%99%A6%E5%BA%B5%E5%85%88%E7%94%9F%E6%9C%B1%E6%96%87%E5%85%AC%E6%96%87%E9%9B%86_(%E5%9B%9B%E9%83%A8%E5%8F%A2%E5%88%8A%E6%9C%AC)/%E5%8D%B7%E7%AC%AC%E4%B8%83,,
Huian xiansheng Zhu wen gong wenji,晦庵先生朱文公文集,Collected works of Zhu Xi,,儒家,,,朱熹,Zhu Xi,,,,,,景上海涵芬樓藏明刊本,饒平蘇,Rao Pingsu,,,1532,,Fujian,預經界事務,yu jingjie shiwu,preparing boundary records,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%99%A6%E5%BA%B5%E5%85%88%E7%94%9F%E6%9C%B1%E6%96%87%E5%85%AC%E6%96%87%E9%9B%86_(%E5%9B%9B%E9%83%A8%E5%8F%A2%E5%88%8A%E6%9C%AC)/%E5%8D%B7%E7%AC%AC%E4%B8%80%E7%99%BE,,
zhusi zhizhang,諸司職掌,duties of the various officials,,職官,,明,朱元璋,Zhu Yuanzhang,,,,,,,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=939727,,
Jinling tuyong,金陵圖詠,Nanjing Illustrated,,,,1624,朱之蕃,Zhu Zhifan,,,,,,,,,,,,,,,,,,,,World Digital Library,Library of Congress,https://www.wdl.org/en/item/295/,,Chinese Rare Books Collection Control number 2014514105
,"Narrative of a journey in the interior of China, and of a voyage to and from that country, in the years 1816 and 1817 : containing an account of the most interesting transactions of Lord Amherst's embassy to the court of Pekin and observations on the countries which it visited",,,,,,Clarke Abel,,,,,,,,,,,,1819,"Longman, Hurst, Rees, Orme, and Brown",London,,,,,,,Archive.org,,https://archive.org/details/narrativeofjourn00abel,,
,"Some Account of the Public Life, and a Selection from the Unpublished Writings, of the Earl of Macartney",,,,,,John Barrow,,,,,,,,,,,,1807,T. Cadell and W. Davies,London,,,,,,,Archive.org,,https://archive.org/details/someaccountpubl00barrgoog,,
Ming Taizu shilu,明太祖實錄,Veritable Records of Ming Taizu,,編年,,明,,,,,,,,,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=555283,,
Ming Taizong shilu,明太宗實錄,Veritable Records of Ming Taizong,,編年,,明,,,,,,,,,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=279435,,
Ming Renzong shilu,明仁宗實錄,Veritable Records of Ming Renzong,,編年,,明,,,,,,,,,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=398252,,
Ming Yingzong shilu,明英宗實錄,Veritable Records of Ming Yingzong,,編年,,明,,,,,,,,,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=954833,,
Mengzi,孟子,Mencius,,儒家,,,,,,,,,,,,,,,,,,梁惠王上,Liang Hui Wang I,,,,,China Text Project,,https://ctext.org/mengzi/liang-hui-wang-i#n1606,,
Zhanguo ce,戰國策,Strategies of the Warring States,,別史,,,,,,,,,,,,,,,,,,"
公輸般為楚設機",Gong Shu ban wei Chu she ji,,,,,China Text Project,,https://ctext.org/zhan-guo-ce/gong-shu-ban-wei-chu-she-ji,,
Shang jun shu,商君書,Book of Lord Shang,,法家,,,,,,,,,,,,,,,,,,來民,laimin,Encouragement of Immigration,,,,China Text Project,,https://ctext.org/shang-jun-shu/encouragement-of-immigration,,
Shi jing,詩經,Classic of Poetry,,經,,,,,,,,,,,,,,,,,,棫樸,yu pu,,,,,China Text Project,,https://ctext.org/book-of-poetry/yu-pu,,
Shi jing,詩經,Classic of Poetry,,經,,,,,,,,,,,,,,,,,,旱麓,han lu,,,,,China Text Project,,https://ctext.org/book-of-poetry/zao-lu,,
Shi jing,詩經,Classic of Poetry,,經,,,,,,,,,,,,,,,,,,皇矣,huang yi,,,,,China Text Project,,https://ctext.org/book-of-poetry/huang-yi,,
Shi jing,詩經,Classic of Poetry,,經,,,,,,,,,,,,,,,,,,緜,mian,,,,,China Text Project,,https://ctext.org/book-of-poetry/mian,,
Shang shu,尚書,Book of Documents,,經,,,,,,,,,,,,,,,,,,盤庚上,Pan Geng shang,Pan Geng I,,,,China Text Project,,https://ctext.org/shang-shu/pan-geng-i#n21195,,
Shang shu,尚書,Book of Documents,,經,,,,,,,,,,,,,,,,,,禹貢,Yu gong,Tribute of Yu,,,,China Text Project,,https://ctext.org/shang-shu/tribute-of-yu,,
Mozi,墨子,,,雜家,,,,,,,,,,,,,,,,,,公輸,Gong Shu,,,,,China Text Project,,https://ctext.org/mozi/gong-shu#n878,,
chuanzheng,船政,Shipbuilding Adminstration,,政書,,1546,,,,,,,,,,,,,,,,,,,,,,China Text Project,Peking University Library,https://ctext.org/library.pl?if=en&res=81972,,
Song xingtong,宋刑統,Song Penal Code,,政書,,963,,,,,,,,,,,,,,,,山野物已加功力,shanye wu yi jiagongli,Wildland Products with Labor Already Invested,,,,Guoxue Baodian,,,,
Song xingtong,宋刑統,Song Penal Code,,政書,,963,,,,,,,,,,,,,,,,占山野陂湖利,zhan shanye pohu li,Monopolizing the Bounties of Wildlands and Wetlands,,,,Guoxue Baodian,,,,
Tianqi Kaihua xianzhi,天啓開化縣志,,,地方誌,開化縣,天啓,,,,,,,,,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Wanli Guizhou tongzhi,萬曆貴州通志,,,地方誌,貴州,萬曆,,,,,,,,,,,,,,,,大木疏,damu shu,long memorial on large timber,,,,LoGaRT,中國方志庫一集,,,
Da Ming lü,大明律,Great Ming Code,,政書,,1397,,,,,,,,,,,,,,,,盜賣田宅,daomai tianzhai,Fraudulently Selling Fields and Houses,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%A7%E6%98%8E%E5%BE%8B/05#%E7%9B%9C%E8%B3%A3%E7%94%B0%E5%AE%85,,
Da Ming lü,大明律,Great Ming Code,,政書,,1397,,,,,,,,,,,,,,,,盜田野穀麥,dao tianye gumai,Stealing Wheat and Rice from Fields,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%A7%E6%98%8E%E5%BE%8B/18#%E7%9B%9C%E7%94%B0%E9%87%8E%E7%A9%80%E9%BA%A5,,
Da Ming lü,大明律,Great Ming Code,,政書,,1397,,,,,,,,,,,,,,,,棄毀器物稼穡等,qihui qiwu jiahao deng,Discarding or Destroying Things Such as Utensils and Crops,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%A7%E6%98%8E%E5%BE%8B/05#%E6%A3%84%E6%AF%80%E5%99%A8%E7%89%A9%E7%A8%BC%E7%A9%A1%E7%AD%89,,
Shang shu,尚書,Book of Documents,,經,,,,,,,,,,,,,,,,,,盤庚上,Pan Geng shang,Pan Geng I,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%B0%9A%E6%9B%B8/%E7%9B%A4%E5%BA%9A%E4%B8%8A,,
Shang shu,尚書,Book of Documents,,經,,,,,,,,,,,,,,,,,,禹貢,Yu gong,Tribute of Yu,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%B0%9A%E6%9B%B8/%E7%A6%B9%E8%B2%A2,,
Quan Tang wen,全唐文,,,,,,,,,,,,,,,,,,,,,种树郭橐驼传,zhongshu Guo tuotuo zhuan,Biography of tree planter Guo the hunchback,柳宗元,Liu Zongyuan,,Wikisource,,https://zh.wikisource.org/zh-hans/%E7%A8%AE%E6%A8%B9%E9%83%AD%E6%A9%90%E9%A7%9D%E5%82%B3,,
Qimen shisi du wu bao yulin ce,祁門四十都五保魚鱗冊,Fish-scale register of Qimen County sector 40 bao 5,,,祁門縣,,,,,,,,,,王鈺欣,Wang Yuxin,周紹泉,Zhou Zhaoquan,1993,花山文艺出版社,石家莊,,,,,,,,徽州千年契约文书－宋元明編,,,
Huizhou fu fuyi quanshu,徽州府賦役全書,Huizhou Prefecture Complete Tax Records,,地方誌,徽州,1620,,,,,,,,,田生金,Tian Shengjin,,,1970,臺灣學生書局,,,,,,,,,明代史籍汇刊影印明刻本,,,
Gongsi biyong,公私必用,Essential for public and private use,,政書,,元,,,,,,,,中国历代契约汇编考译,张传玺,Zhang Zhuanxi,,,1995,北京大学出版社,北京,,,,,,,,,,,
Jiajing xinli,嘉靖新例,New precedents of the Jiajing Reign,,政書,,嘉靖,,,,,,,,中国珍稀法律典籍集成,刘海年,Liu Hainian,楊一凡,Yang Yifan,1994,科学出版社,北京,,,,,,,,,,,
Ming Xuanzong shilu,明宣宗實錄,Veritable Records of Ming Xuanzong,,編年,,明,,,,,,,,,,,,,,,,,,,,,,,,,,
zhizhang tiaoli,南京工部職掌條例,regulations on official duties,,職官,,明,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia Long xinli,嘉隆新例,New precedents of the Jiajing and Longqing Reigns,,政書,,隆情,,,,,,,,中国珍稀法律典籍集成,刘海年,Liu Hainian,楊一凡,Yang Yifan,1994,科学出版社,北京,,,,,,,,,,,
Zhongguo lidai qiyue huibian kaoyi,中国历代契约汇编考译,,LDQY,契約匯編,,,,,,,,,,,张传玺,Zhang Zhuanxi,,,1995,北京大学出版社,北京,,,,,,,,,,,
Minnan qiyue wenshu zonglu,閩南契約文書綜錄,,MNQY,契約匯編,,,,,,,,,,,杨国桢,Yang Guozhen,,,1990,厦门大学出版社,厦门,,,,,,,,,,suppliment,
Qingyuan tiaofa shilei,慶元條法事類,Law Code of the Qingyuan Period Arranged by Topic,,政書,,1201,,,,,,,,中國珍稀法律典籍續編,楊一帆,Yang Yifan,田濤,Tian Tao,2002,黑龍江人民出版社,哈爾濱,,,,,,,,,,,
Huang Ming tiaofa shilei zuan,皇明條法事類纂,Categorized regulations of the August Ming,,政書,,,,,,,,,,中国珍稀法律典籍集成,刘海年,Liu Hainian,楊一凡,Yang Yifan,1994,科学出版社,北京,,,,,,,,,,,
