Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Zhouguan xinyi,周官新義,New Meaning of the Offices of Zhou,,禮,,1086,王安石,Wang Anshi,,,,,,四庫全書本,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%91%A8%E5%AE%98%E6%96%B0%E7%BE%A9_(%E5%9B%9B%E5%BA%AB%E5%85%A8%E6%9B%B8%E6%9C%AC),,
Gu Su zhi,古蘇志,,,地方誌,蘇州,明,王鏊,Wang Ao,,,,,,欽定四庫全書,,,,,,,,抽分,choufen,tariffs,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=196733&searchu=%E6%8A%BD%E5%88%86,,
Jiajing Chizhou fuzhi,嘉靖池州府志,,,地方誌,池州,1546,王崇,Wang Chong,,,,,,明嘉靖刻本,,,,,,,,田賦篇,tianfu pian,land tax,,,,LoGaRT,中國方志庫一集,,,
Tang huiyao,唐會要,,,政書,,北宋,王溥,Wang Fu,,,,,,,,,,,,,,雜稅,zashui,miscelaneous taxes,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%94%90%E6%9C%83%E8%A6%81/%E5%8D%B7084#%E9%9B%9C%E7%A8%85,,
Qian fu lun,潛夫論,Comments of a Recluse,,儒家,,Eastern Han,王符,Wang Fu,(~82-~167),,,,,,,,,,,,,"
浮侈",fuchi,On Excessive Luxury,,,,China Text Project,,https://ctext.org/qian-fu-lun/fu-chi#n84979,,
Qian fu lun,潛夫論,Comments of a Recluse,,儒家,,Eastern Han,王符,Wang Fu,(~82-~167),,,,,,,,,,,,,"
浮侈",fuchi,On Excessive Luxury,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%BD%9B%E5%A4%AB%E8%AB%96/%E5%8D%B7%E4%B8%89#%E6%B5%AE%E4%BE%88%E7%AC%AC%E5%8D%81%E4%BA%8C,,
Tang huiyao,唐會要,Institutional History of the Tang ,,政書,,961,王溥,Wang Pu,,,,,,,,,,,,,,雜稅,zashui,Miscelaneous Taxes,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=133159&searchu=%E9%9B%9C%E7%A8%85,,
Zhizheng Siming xuzhi,至正四明續志,,,地方誌,寧波,1344,王元恭修,Wang Yuangong,,徐亮纂,Xu Liang,,,清咸豐四年宋元四明六志本,,,,,1854,,,賦役,fuyi,tax and corvee,,,,LoGaRT,中國方志庫一集,,,
Jiangxi sheng dazhi,江西省大志,,,地方誌,江西,1556,王宗沐,Wang Zongmu,,,,,,,,,,,,,,,,,,,,,南京圖書館古本善本叢刊第一集,,,
Jiajing Jianning fuzhi,嘉靖建寧府志,,,地方誌,建寧,1541,夏玉麟修,Xi Yulin,,汪佃纂,Wang Dian,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
